Year,Geography,Geography Type,Indicator,Value,Value Type
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,71155,Count
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,46509,Count
2013,Chattanooga and Hamilton Metro,Region,Diazepam,23252,Count
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,40685,Count
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,419768,Count
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,211682,Count
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,91419,Count
2013,Chattanooga and Hamilton Metro,Region,Tramadol,47595,Count
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,38765,Patients
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,13348,Patients
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,8885,Patients
2013,Chattanooga and Hamilton Metro,Region,Diazepam,7686,Patients
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,10454,Patients
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,100014,Patients
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,67174,Patients
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,29704,Patients
2013,Chattanooga and Hamilton Metro,Region,Tramadol,20681,Patients
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,570,Rate
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,204,Rate
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,133,Rate
2013,Chattanooga and Hamilton Metro,Region,Diazepam,67,Rate
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,117,Rate
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,1204,Rate
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,607,Rate
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,262,Rate
2013,Chattanooga and Hamilton Metro,Region,Tramadol,137,Rate
2013,Cheatham,County,All Benzodiazepines,29740,Count
2013,Cheatham,County,Alprazolam,13624,Count
2013,Cheatham,County,Clonazepam,6815,Count
2013,Cheatham,County,Diazepam,4973,Count
2013,Cheatham,County,Lorazepam,2899,Count
2013,Cheatham,County,All Opioids for Pain,66139,Count
2013,Cheatham,County,Hydrocodone,32109,Count
2013,Cheatham,County,Oxycodone,16709,Count
2013,Cheatham,County,Tramadol,5643,Count
2013,Cheatham,County,All Benzodiazepines,5627,Patients
2013,Cheatham,County,Alprazolam,2577,Patients
2013,Cheatham,County,Clonazepam,1359,Patients
2013,Cheatham,County,Diazepam,1282,Patients
2013,Cheatham,County,Lorazepam,820,Patients
2013,Cheatham,County,All Opioids for Pain,13658,Patients
2013,Cheatham,County,Hydrocodone,9586,Patients
2013,Cheatham,County,Oxycodone,4312,Patients
2013,Cheatham,County,Tramadol,2258,Patients
2013,Cheatham,County,All Benzodiazepines,753,Rate
2013,Cheatham,County,Alprazolam,345,Rate
2013,Cheatham,County,Clonazepam,173,Rate
2013,Cheatham,County,Diazepam,126,Rate
2013,Cheatham,County,Lorazepam,73,Rate
2013,Cheatham,County,All Opioids for Pain,1675,Rate
2013,Cheatham,County,Hydrocodone,813,Rate
2013,Cheatham,County,Oxycodone,423,Rate
2013,Cheatham,County,Tramadol,143,Rate
2013,Chester,County,All Benzodiazepines,14082,Count
2013,Chester,County,Alprazolam,9090,Count
2013,Chester,County,Clonazepam,2289,Count
2013,Chester,County,Diazepam,936,Count
2013,Chester,County,Lorazepam,1201,Count
2013,Chester,County,All Opioids for Pain,25757,Count
2013,Chester,County,Hydrocodone,14883,Count
2013,Chester,County,Oxycodone,3951,Count
2013,Chester,County,Tramadol,2935,Count
2013,Chester,County,All Benzodiazepines,2652,Patients
2013,Chester,County,Alprazolam,1740,Patients
2013,Chester,County,Clonazepam,479,Patients
2013,Chester,County,Diazepam,291,Patients
2013,Chester,County,Lorazepam,299,Patients
2013,Chester,County,All Opioids for Pain,5809,Patients
2013,Chester,County,Hydrocodone,4218,Patients
2013,Chester,County,Oxycodone,1329,Patients
2013,Chester,County,Tramadol,1078,Patients
2013,Chester,County,All Benzodiazepines,813,Rate
2013,Chester,County,Alprazolam,525,Rate
2013,Chester,County,Clonazepam,132,Rate
2013,Chester,County,Diazepam,54,Rate
2013,Chester,County,Lorazepam,69,Rate
2013,Chester,County,All Opioids for Pain,1487,Rate
2013,Chester,County,Hydrocodone,859,Rate
2013,Chester,County,Oxycodone,228,Rate
2013,Chester,County,Tramadol,169,Rate
2013,Claiborne,County,All Benzodiazepines,36002,Count
2013,Claiborne,County,Alprazolam,17848,Count
2013,Claiborne,County,Clonazepam,6308,Count
2013,Claiborne,County,Diazepam,6077,Count
2013,Claiborne,County,Lorazepam,4551,Count
2013,Claiborne,County,All Opioids for Pain,69260,Count
2013,Claiborne,County,Hydrocodone,36057,Count
2013,Claiborne,County,Oxycodone,14621,Count
2013,Claiborne,County,Tramadol,6434,Count
2013,Claiborne,County,All Benzodiazepines,5275,Patients
2013,Claiborne,County,Alprazolam,2552,Patients
2013,Claiborne,County,Clonazepam,1006,Patients
2013,Claiborne,County,Diazepam,1125,Patients
2013,Claiborne,County,Lorazepam,865,Patients
2013,Claiborne,County,All Opioids for Pain,10500,Patients
2013,Claiborne,County,Hydrocodone,7672,Patients
2013,Claiborne,County,Oxycodone,2554,Patients
2013,Claiborne,County,Tramadol,1783,Patients
2013,Claiborne,County,All Benzodiazepines,1141,Rate
2013,Claiborne,County,Alprazolam,566,Rate
2013,Claiborne,County,Clonazepam,200,Rate
2013,Claiborne,County,Diazepam,193,Rate
2013,Claiborne,County,Lorazepam,144,Rate
2013,Claiborne,County,All Opioids for Pain,2195,Rate
2013,Claiborne,County,Hydrocodone,1142,Rate
2013,Claiborne,County,Oxycodone,463,Rate
2013,Claiborne,County,Tramadol,204,Rate
2013,Clay,County,All Benzodiazepines,7107,Count
2013,Clay,County,Alprazolam,3102,Count
2013,Clay,County,Clonazepam,1204,Count
2013,Clay,County,Diazepam,1072,Count
2013,Clay,County,Lorazepam,1235,Count
2013,Clay,County,All Opioids for Pain,14843,Count
2013,Clay,County,Hydrocodone,6850,Count
2013,Clay,County,Oxycodone,4845,Count
2013,Clay,County,Tramadol,858,Count
2013,Clay,County,All Benzodiazepines,1107,Patients
2013,Clay,County,Alprazolam,456,Patients
2013,Clay,County,Clonazepam,236,Patients
2013,Clay,County,Diazepam,218,Patients
2013,Clay,County,Lorazepam,210,Patients
2013,Clay,County,All Opioids for Pain,2537,Patients
2013,Clay,County,Hydrocodone,1706,Patients
2013,Clay,County,Oxycodone,888,Patients
2013,Clay,County,Tramadol,283,Patients
